		Veh¡culos Ligeros a Gasolina			Camionetas Ligeras a Gasolina			Camiones ligeros a Diesel			Veh¡culos pesados a Diesel			Camionetas Pesadas a Gasolina
		Composici¢n:	LDGV		Composici¢n:	LDGT1		Composici¢n:	LDDT		Composici¢n:	HDDV		Composici¢n:	 LDGT
		A¤o:	1991		A¤o:	1991		A¤o:	1991		A¤o:	1991		A¤o:	1991

mph	Km/hr	HC	CO	NOx	HC	CO	NOx	HC	CO	NOx	HC	CO	NOx	HC	CO	NOx
2.5	4.0	20.13	247.59	2.18	23.4	263.53	2.39	3.35	7.69	2.49	13.96	46.92	31.8	28.47	285.72	2.65
3.4	5.5	15.7	198.63	2.05	18.31	212.54	2.24	3.19	7.12	2.39	13.29	43.44	30.52	22.03	230.54	2.48
4.4	7.0	12.92	163.67	1.95	15.1	175.91	2.12	3.04	6.6	2.3	12.67	40.29	29.34	18.07	190.88	2.34
5.3	8.5	10.98	138.14	1.86	12.86	149.03	2.01	2.9	6.13	2.21	12.08	37.42	28.23	15.34	161.75	2.23
6.2	10.0	9.55	119.12	1.79	11.2	128.92	1.93	2.77	5.7	2.13	11.53	34.81	27.21	13.35	139.95	2.13
7.1	11.5	8.47	104.69	1.73	9.95	113.62	1.86	2.64	5.31	2.06	11.02	32.43	26.25	11.84	123.35	2.05
8.1	13.0	7.68	93.59	1.69	9.03	101.81	1.8	2.53	4.96	1.99	10.53	30.27	25.35	10.74	110.53	1.99
9.0	14.5	7.05	84.92	1.66	8.29	92.56	1.76	2.42	4.63	1.92	10.07	28.29	24.52	9.86	100.5	1.95
9.9	16.0	6.53	78.06	1.64	7.68	85.24	1.74	2.32	4.34	1.86	9.65	26.48	23.74	9.14	92.55	1.92
10.9	17.5	6.11	72.58	1.63	7.19	79.39	1.72	2.22	4.07	1.81	9.24	24.83	23.02	8.55	86.19	1.9
11.8	19.0	5.75	68.15	1.63	6.77	74.65	1.72	2.13	3.82	1.75	8.86	23.32	22.34	8.06	81.05	1.9
12.7	20.5	5.45	64.53	1.64	6.42	70.78	1.73	2.04	3.59	1.7	8.5	21.94	21.71	7.65	76.85	1.91
13.7	22.0	5.2	61.54	1.66	6.12	67.59	1.75	1.96	3.39	1.66	8.17	20.67	21.13	7.29	73.39	1.92
14.6	23.5	4.98	59.04	1.69	5.86	64.93	1.77	1.88	3.19	1.61	7.85	19.5	20.59	6.99	70.5	1.95
